WadeInstrFirst,Gender,WadeGPA,Instructors,ICESRating,Subject,WadeInstrLast,GrayInstrFirst,CRN,Salary,ICESTA,Course
r,NONE,3.67,"S,Lee;R,Zheng;",EXCELLENT,AAS,zheng,,41758,,True,100
r,NONE,3.5,"S,Lee;R,Zheng;",EXCELLENT,AAS,zheng,,47100,,True,100
j,NONE,3.88,"S,Lee;J,Shin;",EXCELLENT,AAS,shin,,47102,,True,100
s,NONE,3.72,"S,Lee;",OUTSTANDING,AAS,lee,,51248,,True,100
j,NONE,3.72,"S,Lee;J,Shin;",EXCELLENT,AAS,shin,,51249,,True,100
,NONE,NONE,"S,Lee;",OUTSTANDING,AAS,,,51932,,True,100
,NONE,NONE,"S,Lee;A,Mukhopadhyay;",OUTSTANDING,AAS,,,59818,,True,100
a,NONE,3.65,"S,Lee;A,Mukhopadhyay;",OUTSTANDING,AAS,mukhopadhyay,,59819,,True,100
y,NONE,3.54,"S,Lee;Y,Wang;",OUTSTANDING,AAS,wang,,59820,,True,100
y,NONE,3.89,"S,Lee;Y,Wang;",OUTSTANDING,AAS,wang,,59821,,True,100
,NONE,NONE,"S,Lee;",OUTSTANDING,AAS,,,29646,,True,100
v,NONE,3.31,"V,Yan-Gonzalez;",NONE,AAS,yan-gonzalez,,67473,,,200
,NONE,NONE,"S,Leffingwell;",NONE,AAS,,,71040,,,201
,NONE,NONE,"M,Pryor;",NONE,AAS,,,71043,,,201
,NONE,NONE,"I,Tuhtasunov;",EXCELLENT,AAS,,,74251,,True,201
s,NONE,3.86,"S,Kwon;",NONE,AAS,kwon,,66200,,,246
,NONE,NONE,"M,Nguyen;A,Rijo Sanchez;",NONE,AAS,,,75111,,,275
,NONE,NONE,"G,Malo;M,Nguyen;",NONE,AAS,,,71455,,,275
,NONE,NONE,"G,Malo;M,Nguyen;",NONE,AAS,,,71457,,,275
,NONE,NONE,"S,McKeegan;M,Nguyen;",NONE,AAS,,,71459,,,275
,NONE,NONE,"M,Nguyen;A,Rijo Sanchez;",NONE,AAS,,,71461,,,275
,NONE,NONE,"M,Nguyen;R,Turner;",NONE,AAS,,,73306,,,275
,NONE,NONE,"M,Nguyen;R,Turner;",NONE,AAS,,,73308,,,275
,NONE,NONE,"S,McKeegan;M,Nguyen;",NONE,AAS,,,73313,,,275
,NONE,NONE,"M,Nguyen;",NONE,AAS,,,71453,,,275
,NONE,NONE,"A,Burgos;K,Kelley;",EXCELLENT,AAS,,,71409,,True,281
,NONE,NONE,"A,Burgos;K,Kelley;",EXCELLENT,AAS,,,71413,,True,281
,NONE,NONE,"A,Burgos;K,Kelley;",EXCELLENT,AAS,,,71417,,True,281
,NONE,NONE,"A,Burgos;Y,Lan;",NONE,AAS,,,75269,,,281
,NONE,NONE,"A,Burgos;Y,Lan;",NONE,AAS,,,75272,,,281
,NONE,NONE,"A,Burgos;Y,Lan;",NONE,AAS,,,75275,,,281
,NONE,NONE,"A,Burgos;",NONE,AAS,,,70106,,,281
,NONE,NONE,"D,Chih;",NONE,AAS,,,64421,,,297
,NONE,NONE,"A,Balgopal;",NONE,AAS,,,77102,,,297
,NONE,NONE,"J,Rana;",NONE,AAS,,,66652,,,300
,NONE,NONE,"D,Studamire;",NONE,AAS,,,65000,,,310
,NONE,NONE,"R,Perkins-Williams;",NONE,AAS,,,33764,,,310
,NONE,NONE,"C,Livingston;",NONE,AAS,,,77817,,,310
,NONE,NONE,"C,Livingston;Y,Pak;R,Perkins-Williams;D,Studamire;",EXCELLENT,AAS,,,33770,,False,310
,NONE,NONE,"R,Velasquez Estrada;",NONE,AAS,,,77392,,,343
,NONE,NONE,"S,Lee;",OUTSTANDING,AAS,,,45567,,False,402
,NONE,NONE,"S,Lee;",OUTSTANDING,AAS,,,64998,,False,402
,NONE,NONE,"M,Kashani;",NONE,AAS,,,54236,,,501
r,NONE,3.87,"R,Bhattarai;",NONE,ABE,bhattarai,,72060,,,100
,NONE,NONE,,NONE,ABE,,,10141,,,199
,NONE,NONE,"A,Boone;",NONE,ABE,,,70613,,,199
,NONE,NONE,"R,Bhattarai;P,Davidson;P,Kalita;",EXCELLENT,ABE,,,55376,,False,199
,NONE,NONE,"B,Barber;T,Grift;",OUTSTANDING,ABE,,,58928,,True,223
,NONE,NONE,"B,Barber;T,Grift;",OUTSTANDING,ABE,,,58929,,True,223
,NONE,NONE,"T,Grift;",NONE,ABE,,,58927,,,223
,NONE,NONE,"P,Kalita;",NONE,ABE,,,58933,,,224
,NONE,NONE,"P,Kalita;",NONE,ABE,,,58931,,,224
a,NONE,3.46,"E,Lawson-Bulten;A,Witmer;",NONE,ABE,witmer,,75460,,,232
,NONE,NONE,"M,Kamruzzaman;",NONE,ABE,,,77441,,,340
,NONE,NONE,"K,Rausch;",NONE,ABE,,,57598,,,341
,NONE,NONE,,NONE,ABE,,,50272,,,397
,NONE,NONE,"L,Rodriguez;",NONE,ABE,,,78067,,,398
,NONE,NONE,"B,Bogarin Cantero;P,Davidson;K,Diaz;",EXCELLENT,ABE,,,64780,,True,430
,NONE,NONE,"B,Bogarin Cantero;P,Davidson;K,Diaz;",EXCELLENT,ABE,,,64781,,True,430
,NONE,NONE,"B,Bogarin Cantero;P,Davidson;K,Diaz;",EXCELLENT,ABE,,,64782,,True,430
p,NONE,3.92,"P,Davidson;",OUTSTANDING,ABE,davidson,,64779,,False,430
,NONE,NONE,"X,Wang;",NONE,ABE,,,76434,,,436
,NONE,NONE,"X,Wang;J,Zhao;",NONE,ABE,,,68450,,,436
,NONE,NONE,"X,Wang;J,Zhao;",NONE,ABE,,,68451,,,436
,NONE,NONE,"A,Lipka;",EXCELLENT,ABE,,,33575,,False,440
,NONE,NONE,"A,Lipka;",EXCELLENT,ABE,,,34029,,False,440
,NONE,NONE,"A,Lipka;",EXCELLENT,ABE,,,34047,,False,440
,NONE,NONE,"A,Lipka;",EXCELLENT,ABE,,,34061,,False,440
,NONE,NONE,"A,Lipka;",EXCELLENT,ABE,,,55892,,False,440
,NONE,NONE,"A,Lipka;",EXCELLENT,ABE,,,60435,,False,440
,NONE,NONE,"L,Rodriguez;",NONE,ABE,,,75570,,,452
,NONE,NONE,"L,Rodriguez;",NONE,ABE,,,76687,,,452
,NONE,NONE,"R,Cooke;",NONE,ABE,,,29655,,,459
,NONE,NONE,"R,Cooke;",NONE,ABE,,,39805,,,459
,NONE,NONE,"C,Allen;",EXCELLENT,ABE,,,31277,,False,466
,NONE,NONE,"C,Allen;",EXCELLENT,ABE,,,31280,,False,466
v,NONE,3.31,"V,Singh;",EXCELLENT,ABE,singh,,57478,,False,488
,NONE,NONE,,NONE,ABE,,,50183,,,497
,NONE,NONE,,NONE,ABE,,,10169,,,498
,NONE,NONE,"M,Tessum;",NONE,ABE,,,77384,,,498
x,NONE,3.9,"X,Wang;",NONE,ABE,wang,,72232,,,498
,NONE,NONE,"Y,Zhang;",NONE,ABE,,,39806,,,501
,NONE,NONE,"A,Witmer;",NONE,ABE,,,75474,,,532
,NONE,NONE,"X,Wang;",NONE,ABE,,,47356,,,594
,NONE,NONE,,NONE,ABE,,,10177,,,599
,NONE,NONE,,NONE,ACCY,,,10033,,,199
,NONE,NONE,"M,Lullo;",NONE,ACCY,,,69998,,,199
l,NONE,3.65,"L,Zhang;",EXCELLENT,ACCY,zhang,,39539,,False,200
p,NONE,3.31,"P,Silhan;",NONE,ACCY,silhan,,29670,,,200
,NONE,NONE,"M,Fisher;N,Zhu;",EXCELLENT,ACCY,,,36478,,True,201
,NONE,NONE,"M,Fisher;C,Yu;",EXCELLENT,ACCY,,,36480,,True,201
,NONE,NONE,"M,Fisher;A,Kogen;",OUTSTANDING,ACCY,,,36482,,True,201
,NONE,NONE,"M,Fisher;C,Yu;",EXCELLENT,ACCY,,,36484,,True,201
,NONE,NONE,"M,Fisher;A,Kogen;",OUTSTANDING,ACCY,,,36486,,True,201
,NONE,NONE,"M,Fisher;N,Zhu;",EXCELLENT,ACCY,,,36487,,True,201
,NONE,NONE,"M,Fisher;E,Light;",EXCELLENT,ACCY,,,36494,,True,201
,NONE,NONE,"S,Chomiak;M,Fisher;",OUTSTANDING,ACCY,,,36496,,False,201
,NONE,NONE,"M,Fisher;T,Folliard;",EXCELLENT,ACCY,,,36499,,True,201
,NONE,NONE,"M,Fisher;K,Howley;",OUTSTANDING,ACCY,,,36502,,True,201
,NONE,NONE,"M,Fisher;E,Light;",EXCELLENT,ACCY,,,36506,,True,201
,NONE,NONE,"M,Fisher;L,Pachosa;",OUTSTANDING,ACCY,,,36509,,False,201
,NONE,NONE,"C,Alwood;M,Fisher;",OUTSTANDING,ACCY,,,36513,,False,201
,NONE,NONE,"M,Fisher;T,Folliard;",EXCELLENT,ACCY,,,36516,,True,201
,NONE,NONE,"M,Fisher;A,Rabin;",OUTSTANDING,ACCY,,,36522,,True,201
,NONE,NONE,"M,Fisher;L,Pachosa;",OUTSTANDING,ACCY,,,36526,,False,201
,NONE,NONE,"C,Alwood;M,Fisher;",OUTSTANDING,ACCY,,,36530,,False,201
,NONE,NONE,"S,Chomiak;M,Fisher;",OUTSTANDING,ACCY,,,36536,,False,201
,NONE,NONE,"M,Fisher;K,Howley;",OUTSTANDING,ACCY,,,36538,,True,201
,NONE,NONE,"M,Fisher;A,Rabin;",OUTSTANDING,ACCY,,,36543,,True,201
m,NONE,3.17,"M,Fisher;H,Freeman;",OUTSTANDING,ACCY,fisher,,36474,,False,201
m,NONE,3.01,"M,Fisher;",OUTSTANDING,ACCY,fisher,,36477,,False,201
m,NONE,3.58,"M,Fisher;",OUTSTANDING,ACCY,fisher,,71428,,False,201
,NONE,NONE,"E,Hu;J,Shapland;",EXCELLENT,ACCY,,,36552,,True,202
,NONE,NONE,"E,Hu;J,Shapland;",EXCELLENT,ACCY,,,36556,,True,202
,NONE,NONE,"L,Brezina;J,Shapland;",EXCELLENT,ACCY,,,36560,,True,202
,NONE,NONE,"L,Brezina;J,Shapland;",EXCELLENT,ACCY,,,36565,,True,202
,NONE,NONE,"J,Humphrey;J,Shapland;",EXCELLENT,ACCY,,,36568,,True,202
,NONE,NONE,"J,Humphrey;J,Shapland;",EXCELLENT,ACCY,,,36574,,True,202
,NONE,NONE,"A,Okeefe;J,Shapland;",NONE,ACCY,,,71329,,,202
,NONE,NONE,"A,Okeefe;J,Shapland;",NONE,ACCY,,,71330,,,202
,NONE,NONE,"A,Lakhani;J,Shapland;",NONE,ACCY,,,71331,,,202
,NONE,NONE,"A,Lakhani;J,Shapland;",NONE,ACCY,,,71332,,,202
j,NONE,3.29,"C,Fox;J,Shapland;",NONE,ACCY,shapland,,36549,,,202
j,NONE,3.79,"J,Shapland;",NONE,ACCY,shapland,,71328,,,202
,NONE,NONE,"J,Shapland;",NONE,ACCY,,,45794,,,290
,NONE,NONE,"A,Ibrahim;",OUTSTANDING,ACCY,,,36577,,False,301
a,NONE,3.13,"A,Ibrahim;",OUTSTANDING,ACCY,ibrahim,,36581,,False,301
s,NONE,3.39,"S,Anderson;",EXCELLENT,ACCY,anderson,,36584,,False,301
,NONE,NONE,"J,Johnson;",NONE,ACCY,,,36587,,,301
j,NONE,3.55,"J,Johnson;",NONE,ACCY,johnson,,36590,,,301
s,NONE,3.46,"S,Anderson;",EXCELLENT,ACCY,anderson,,36592,,False,301
s,NONE,3.14,"S,Anderson;",EXCELLENT,ACCY,anderson,,36598,,False,301
j,NONE,3.49,"J,Johnson;",NONE,ACCY,johnson,,49255,,,301
j,NONE,3.39,"J,Samet;",NONE,ACCY,samet,,36614,,,302
s,NONE,3.22,"S,Curtis;",OUTSTANDING,ACCY,curtis,,36618,,False,302
j,NONE,3.53,"J,Samet;",NONE,ACCY,samet,,36677,,,302
s,NONE,3.26,"S,Curtis;",OUTSTANDING,ACCY,curtis,,36680,,False,302
s,NONE,3,"S,Curtis;",OUTSTANDING,ACCY,curtis,,36688,,False,302
j,NONE,3.25,"J,Samet;",NONE,ACCY,samet,,49258,,,302
,NONE,NONE,"S,Curtis;J,Samet;",OUTSTANDING,ACCY,,,36690,,False,302
,NONE,NONE,"S,Curtis;J,Samet;",OUTSTANDING,ACCY,,,36691,,False,302
s,NONE,3.2,"S,Pachera;",EXCELLENT,ACCY,pachera,,36700,,False,303
s,NONE,3.46,"S,Pachera;",EXCELLENT,ACCY,pachera,,36701,,False,303
d,NONE,3.36,"D,Godsell;",OUTSTANDING,ACCY,godsell,,36713,,False,303
s,NONE,3.31,"S,Pachera;",EXCELLENT,ACCY,pachera,,49259,,False,303
,NONE,NONE,"S,Pachera;",EXCELLENT,ACCY,,,36703,,False,303
d,NONE,3.28,"D,Godsell;",OUTSTANDING,ACCY,godsell,,67818,,False,303
m,NONE,3.24,"M,Williamson;",EXCELLENT,ACCY,williamson,,31318,,False,304
a,NONE,3.59,"A,Dahle;",NONE,ACCY,dahle,,31319,,,304
a,NONE,3.32,"A,Dahle;",NONE,ACCY,dahle,,31320,,,304
a,NONE,3.13,"A,Dahle;",NONE,ACCY,dahle,,49280,,,304
m,NONE,3.37,"M,Williamson;",EXCELLENT,ACCY,williamson,,62036,,False,304
m,NONE,3.28,"M,Hutchens;",NONE,ACCY,hutchens,,31321,,,312
m,NONE,3.45,"M,Penn;",EXCELLENT,ACCY,penn,,31324,,False,312
c,NONE,3.36,"C,Holder;",NONE,ACCY,holder,,31330,,,312
c,NONE,3.06,"C,Holder;",NONE,ACCY,holder,,31332,,,312
a,NONE,3.29,"A,Vuong;",EXCELLENT,ACCY,vuong,,31333,,False,312
m,NONE,3.36,"M,Penn;",EXCELLENT,ACCY,penn,,45719,,False,312
a,NONE,3.45,"A,Vuong;",EXCELLENT,ACCY,vuong,,45934,,False,312
,NONE,NONE,"D,Planty;",NONE,ACCY,,,60065,,,321
,NONE,NONE,"M,Hutchens;",EXCELLENT,ACCY,,,61229,,False,398
,NONE,NONE,"M,Hutchens;",EXCELLENT,ACCY,,,64742,,False,398
,NONE,NONE,"M,Hutchens;",EXCELLENT,ACCY,,,64739,,False,398
,NONE,NONE,"M,Hutchens;",EXCELLENT,ACCY,,,64732,,False,398
,NONE,NONE,"M,Hutchens;",EXCELLENT,ACCY,,,61230,,False,398
d,NONE,3.6,"D,Kink;",EXCELLENT,ACCY,kink,,36754,,False,405
d,NONE,3.58,"D,Kink;",EXCELLENT,ACCY,kink,,36758,,False,405
d,NONE,3.6,"D,Kink;",EXCELLENT,ACCY,kink,,36764,,False,405
a,NONE,3.45,"A,Thompson;",NONE,ACCY,thompson,,36768,,,405
a,NONE,3.26,"A,Thompson;",NONE,ACCY,thompson,,36771,,,405
e,NONE,3.64,"E,Rogowski;",EXCELLENT,ACCY,rogowski,,54162,,False,405
,NONE,NONE,"M,Donohoe;",NONE,ACCY,,,36779,,,405
m,NONE,3.21,"M,Kustanovich;",EXCELLENT,ACCY,kustanovich,,61231,,False,410
,NONE,NONE,"M,Kustanovich;",EXCELLENT,ACCY,,,64652,,False,410
m,NONE,3.39,"M,Kustanovich;",EXCELLENT,ACCY,kustanovich,,62729,,False,410
,NONE,NONE,"M,Kustanovich;",EXCELLENT,ACCY,,,64654,,False,410
a,NONE,3.2,"A,Ibrahim;",OUTSTANDING,ACCY,ibrahim,,62730,,False,410
,NONE,NONE,"A,Ibrahim;",OUTSTANDING,ACCY,,,64656,,False,410
a,NONE,3.35,"A,Ibrahim;",OUTSTANDING,ACCY,ibrahim,,62731,,False,410
,NONE,NONE,"A,Ibrahim;",OUTSTANDING,ACCY,,,64657,,False,410
e,NONE,3.42,"E,Beardsley;",OUTSTANDING,ACCY,beardsley,,49130,,False,451
,NONE,NONE,"E,Beardsley;",OUTSTANDING,ACCY,,,63159,,False,451
c,NONE,3.26,"C,Holder;",EXCELLENT,ACCY,holder,,54569,,False,451
,NONE,NONE,"C,Holder;",EXCELLENT,ACCY,,,63160,,False,451
c,NONE,3.36,"C,Holder;",EXCELLENT,ACCY,holder,,62733,,False,451
,NONE,NONE,"C,Holder;",EXCELLENT,ACCY,,,63161,,False,451
,NONE,NONE,"E,Beardsley;",OUTSTANDING,ACCY,,,63119,,False,451
,NONE,NONE,"E,Beardsley;",OUTSTANDING,ACCY,,,63163,,False,451
e,NONE,3.27,"E,Beardsley;",OUTSTANDING,ACCY,beardsley,,70659,,False,451
,NONE,NONE,"E,Beardsley;",OUTSTANDING,ACCY,,,70660,,False,451
,NONE,NONE,,NONE,ACCY,,,10038,,,499
,NONE,NONE,"G,Augusto Sampaio Franco de Lima;",NONE,ACCY,,,62025,,,500
o,NONE,3.9,"S,Mendoza;O,Urcan;",EXCELLENT,ACCY,urcan,,67282,,False,500
o,NONE,3.71,"S,Mendoza;O,Urcan;",EXCELLENT,ACCY,urcan,,67281,,False,500
g,NONE,3.65,"G,Augusto Sampaio Franco de Lima;",NONE,ACCY,augusto sampaio,,56063,,,500
g,NONE,3.43,"G,Augusto Sampaio Franco de Lima;M,Evans;",NONE,ACCY,augusto sampaio,,29678,,,501
g,NONE,3.12,"G,Augusto Sampaio Franco de Lima;M,Evans;",NONE,ACCY,augusto sampaio,,69435,,,501
,NONE,NONE,"M,Evans;",NONE,ACCY,,,70308,,,501
,NONE,NONE,"G,Augusto Sampaio Franco de Lima;M,Evans;",NONE,ACCY,,,69437,,,501
,NONE,NONE,"G,Augusto Sampaio Franco de Lima;M,Evans;",NONE,ACCY,,,69438,,,501
r,NONE,3.62,"R,Schwartz;",OUTSTANDING,ACCY,schwartz,,29680,,False,502
r,NONE,3.56,"R,Schwartz;",OUTSTANDING,ACCY,schwartz,,31334,,False,502
s,NONE,3.43,"M,Evans;S,Mendoza;",EXCELLENT,ACCY,mendoza,,71904,,False,502
s,NONE,3.38,"M,Evans;S,Mendoza;",EXCELLENT,ACCY,mendoza,,71905,,False,502
r,NONE,3.63,"R,Schwartz;",OUTSTANDING,ACCY,schwartz,,76239,,False,502
,NONE,NONE,"M,Evans;S,Mendoza;",EXCELLENT,ACCY,,,71906,,False,502
,NONE,NONE,"M,Evans;S,Mendoza;",EXCELLENT,ACCY,,,71907,,False,502
t,NONE,3.92,"J,Herbold;",OUTSTANDING,ACCY,herbold,,31335,,False,503
t,NONE,3.79,"J,Herbold;",OUTSTANDING,ACCY,herbold,,77353,,False,503
x,NONE,3.59,"A,Chatterton;X,Chen;L,Zhang;",NONE,ACCY,chen,,66973,,,503
l,NONE,2.81,"A,Chatterton;X,Chen;L,Zhang;",NONE,ACCY,zhang,,66974,,,503
a,NONE,3.59,"A,Rozario;",EXCELLENT,ACCY,rozario,,59162,,False,504
a,NONE,3.6,"A,Rozario;",EXCELLENT,ACCY,rozario,,64875,,False,504
m,NONE,3.54,"A,Chatterton;M,Peecher;",NONE,ACCY,peecher,,70165,,,504
m,NONE,3.56,"A,Chatterton;M,Peecher;",NONE,ACCY,peecher,,70166,,,504
a,NONE,3.68,"A,Rozario;",EXCELLENT,ACCY,rozario,,76238,,False,504
,NONE,NONE,"A,Chatterton;M,Peecher;",NONE,ACCY,,,70167,,,504
,NONE,NONE,"A,Chatterton;M,Peecher;",NONE,ACCY,,,70168,,,504
a,NONE,3.55,"M,Alt;M,Hutchens;",EXCELLENT,ACCY,alt,,31339,,False,505
a,NONE,3.46,"M,Alt;M,Hutchens;",EXCELLENT,ACCY,alt,,31341,,False,505
m,NONE,3.59,"M,Hutchens;",EXCELLENT,ACCY,hutchens,,54993,,False,505
m,NONE,3.51,"D,Green;M,Hutchens;",EXCELLENT,ACCY,hutchens,,69441,,False,505
m,NONE,3.4,"D,Green;M,Hutchens;",EXCELLENT,ACCY,hutchens,,69442,,False,505
a,NONE,3.48,"M,Alt;D,Holder;",OUTSTANDING,ACCY,alt,,70661,,False,505
,NONE,NONE,"D,Green;M,Hutchens;",EXCELLENT,ACCY,,,69443,,False,505
