CRN,Course,WadeGPA,WadeInstrLast,WadeInstrFirst,ICESRating,ICESTA,Gender,Salary,Subject,GrayInstrFirst,Instructors
41758,100,3.77,wang,y,EXCELLENT,True,NONE,,AAS,,"D,Siglos;Y,Wang;"
47100,100,3.67,wang,y,EXCELLENT,True,NONE,,AAS,,"D,Siglos;Y,Wang;"
47102,100,NONE,,,EXCELLENT,True,NONE,,AAS,,"H,Charity;D,Siglos;"
51248,100,NONE,,,EXCELLENT,True,NONE,,AAS,,"H,Charity;D,Siglos;"
51249,100,3.61,kim,g,EXCELLENT,True,NONE,,AAS,,"G,Kim;D,Siglos;"
51932,100,3.69,kim,g,EXCELLENT,True,NONE,,AAS,,"G,Kim;D,Siglos;"
59818,100,NONE,,,NONE,,NONE,,AAS,,"S,Roy;D,Siglos;"
59819,100,NONE,,,NONE,,NONE,,AAS,,"S,Roy;D,Siglos;"
59820,100,3.73,mukhopadhyay,a,NONE,,NONE,,AAS,,"A,Mukhopadhyay;D,Siglos;"
59821,100,3.94,mukhopadhyay,a,NONE,,NONE,,AAS,,"A,Mukhopadhyay;D,Siglos;"
29646,100,NONE,,,NONE,,NONE,,AAS,,"D,Siglos;"
67159,100,NONE,,,NONE,,NONE,,AAS,,"K,Bui;"
51394,120,3.78,huang,n,NONE,,NONE,,AAS,,"N,Huang;"
67473,200,3.47,siglos,d,EXCELLENT,False,NONE,,AAS,,"D,Siglos;"
62301,201,NONE,,,EXCELLENT,True,NONE,,AAS,,"Q,Nie;"
62302,201,NONE,,,EXCELLENT,True,NONE,,AAS,,"Q,Nie;"
62303,201,NONE,,,EXCELLENT,True,NONE,,AAS,,"Q,Nie;"
62300,201,NONE,,,NONE,,NONE,,AAS,,"C,Wong;"
67896,211,NONE,,,NONE,,NONE,,AAS,,"E,Sawada;"
66200,246,3.9,kwon,s,NONE,,NONE,,AAS,,"S,Kwon;"
71409,281,NONE,,,NONE,,NONE,,AAS,,"J,Polanski;Y,Ramirez;"
71413,281,NONE,,,NONE,,NONE,,AAS,,"J,Polanski;Y,Ramirez;"
71417,281,NONE,,,NONE,,NONE,,AAS,,"J,Polanski;Y,Ramirez;"
75269,281,NONE,,,EXCELLENT,True,NONE,,AAS,,"L,Pederson;Y,Ramirez;"
75272,281,NONE,,,EXCELLENT,True,NONE,,AAS,,"L,Pederson;Y,Ramirez;"
75275,281,NONE,,,EXCELLENT,True,NONE,,AAS,,"L,Pederson;Y,Ramirez;"
70106,281,NONE,,,NONE,,NONE,,AAS,,"Y,Ramirez;"
41932,286,NONE,,,NONE,,NONE,,AAS,,"C,Villanueva;"
10027,290,NONE,,,NONE,,NONE,,AAS,,"D,Chih;"
64421,297,NONE,,,NONE,,NONE,,AAS,,"D,Chih;"
77102,297,NONE,,,EXCELLENT,False,NONE,,AAS,,"A,Balgopal;"
66652,300,NONE,,,EXCELLENT,False,NONE,,AAS,,"D,Siglos;"
65000,310,NONE,,,OUTSTANDING,True,NONE,,AAS,,"T,Moton;K,Velasco;"
33764,310,NONE,,,EXCELLENT,False,NONE,,AAS,,"M,Galloway;T,Moton;"
77817,310,NONE,,,EXCELLENT,False,NONE,,AAS,,"C,Getowicz;T,Moton;"
79695,310,NONE,,,EXCELLENT,True,NONE,,AAS,,"T,Moton;V,Ruiz-Divas;"
79699,310,NONE,,,EXCELLENT,False,NONE,,AAS,,"G,Haggins;T,Moton;"
33770,310,NONE,,,EXCELLENT,False,NONE,,AAS,,"T,Moton;"
71134,395,NONE,,,NONE,,NONE,,AAS,,
55874,479,NONE,,,NONE,,NONE,,AAS,,"N,Lira;"
55873,479,NONE,,,NONE,,NONE,,AAS,,"N,Lira;"
54236,501,NONE,,,NONE,,NONE,,AAS,,"K,Bui;"
78644,127,3.96,bhattarai,r,NONE,,NONE,,ABE,,"R,Bhattarai;H,Timalsina;"
10141,199,NONE,,,NONE,,NONE,,ABE,,
70613,199,NONE,,,NONE,,NONE,,ABE,,"A,Boone;"
55376,199,NONE,,,EXCELLENT,False,NONE,,ABE,,"R,Bhattarai;P,Davidson;P,Kalita;"
79304,227,NONE,,,EXCELLENT,True,NONE,,ABE,,"B,Barber;T,Grift;S,Mishra;"
79305,227,NONE,,,EXCELLENT,True,NONE,,ABE,,"B,Barber;T,Grift;S,Mishra;"
75460,232,3.73,witmer,a,NONE,,NONE,,ABE,,"X,Echeverria Ortiz;J,Mingee;A,Witmer;"
77441,340,NONE,,,NONE,,NONE,,ABE,,"M,Kamruzzaman;"
50272,397,NONE,,,NONE,,NONE,,ABE,,
78083,398,NONE,,,NONE,,NONE,,ABE,,"L,Rodriguez;"
64779,430,3.85,davidson,p,EXCELLENT,True,NONE,,ABE,,"B,Bogarin Cantero;P,Davidson;J,Oberg;L,Reynolds;"
76434,436,NONE,,,EXCELLENT,False,NONE,,ABE,,"A,Malvandi;"
68450,436,3.81,malvandi,a,EXCELLENT,False,NONE,,ABE,,"M,Azizi;A,Malvandi;"
68451,436,NONE,,,EXCELLENT,False,NONE,,ABE,,"M,Azizi;A,Malvandi;"
75570,452,NONE,,,NONE,,NONE,,ABE,,"L,Rodriguez;"
76687,452,NONE,,,NONE,,NONE,,ABE,,"L,Rodriguez;"
79781,456,NONE,,,OUTSTANDING,False,NONE,,ABE,,"L,Alves de Oliveira;"
79782,456,NONE,,,OUTSTANDING,False,NONE,,ABE,,"L,Alves de Oliveira;"
29655,459,NONE,,,EXCELLENT,False,NONE,,ABE,,"R,Cooke;"
39805,459,NONE,,,EXCELLENT,False,NONE,,ABE,,"R,Cooke;"
31277,466,NONE,,,OUTSTANDING,False,NONE,,ABE,,"C,Allen;"
31280,466,NONE,,,OUTSTANDING,True,NONE,,ABE,,"C,Allen;I,Sherer;"
57478,488,NONE,,,NONE,,NONE,,ABE,,"S,Banerjee;S,Maitra;V,Singh;"
50183,497,NONE,,,NONE,,NONE,,ABE,,
10169,498,NONE,,,NONE,,NONE,,ABE,,
77384,498,NONE,,,NONE,,NONE,,ABE,,"M,Tessum;"
10840,498,NONE,,,NONE,,NONE,,ABE,,"S,Shajahan;"
72232,498,3.91,stillwell,a,EXCELLENT,False,NONE,,ABE,,"A,Stillwell;X,Wang;"
39806,501,NONE,,,NONE,,NONE,,ABE,,"S,Summers;Y,Zhang;"
75474,532,NONE,,,NONE,,NONE,,ABE,,"X,Echeverria Ortiz;J,Mingee;A,Witmer;"
10174,597,NONE,,,NONE,,NONE,,ABE,,
10177,599,NONE,,,NONE,,NONE,,ABE,,
10033,199,NONE,,,NONE,,NONE,,ACCY,,
39539,200,3.7,zhang,l,NONE,,NONE,,ACCY,,"L,Zhang;"
29670,200,3.78,green,d,EXCELLENT,False,NONE,,ACCY,,"D,Green;"
36478,201,NONE,,,EXCELLENT,True,NONE,,ACCY,,"M,Fisher;Z,Ray;"
36480,201,NONE,,,EXCELLENT,True,NONE,,ACCY,,"M,Fisher;J,Matern;"
36484,201,NONE,,,EXCELLENT,True,NONE,,ACCY,,"M,Fisher;J,Matern;"
36486,201,NONE,,,EXCELLENT,True,NONE,,ACCY,,"M,Fisher;S,Vayngart;"
36487,201,NONE,,,EXCELLENT,False,NONE,,ACCY,,"A,Dai;M,Fisher;"
36494,201,NONE,,,EXCELLENT,True,NONE,,ACCY,,"M,Fisher;S,Vayngart;"
36496,201,NONE,,,EXCELLENT,False,NONE,,ACCY,,"A,Dai;M,Fisher;"
36502,201,NONE,,,EXCELLENT,True,NONE,,ACCY,,"M,Fisher;R,Joseph;"
36506,201,NONE,,,EXCELLENT,True,NONE,,ACCY,,"M,Fisher;L,Lam;"
36509,201,NONE,,,EXCELLENT,True,NONE,,ACCY,,"M,Fisher;K,McFarland;"
36513,201,NONE,,,EXCELLENT,False,NONE,,ACCY,,"M,Fisher;A,Gabis;"
36522,201,NONE,,,EXCELLENT,True,NONE,,ACCY,,"M,Fisher;L,Lam;"
36526,201,NONE,,,EXCELLENT,True,NONE,,ACCY,,"M,Fisher;K,McFarland;"
36530,201,NONE,,,EXCELLENT,False,NONE,,ACCY,,"M,Fisher;A,Gabis;"
36536,201,NONE,,,EXCELLENT,True,NONE,,ACCY,,"M,Fisher;Z,Ray;"
36543,201,NONE,,,EXCELLENT,True,NONE,,ACCY,,"M,Fisher;R,Joseph;"
36474,201,3.34,fisher,m,EXCELLENT,False,NONE,,ACCY,,"M,Fisher;"
36477,201,3.25,fisher,m,EXCELLENT,False,NONE,,ACCY,,"M,Fisher;"
71428,201,NONE,,,EXCELLENT,False,NONE,,ACCY,,"M,Fisher;"
36556,202,NONE,,,EXCELLENT,True,NONE,,ACCY,,"W,Gorski;J,Shapland;"
36560,202,NONE,,,EXCELLENT,True,NONE,,ACCY,,"W,Gorski;J,Shapland;"
36565,202,NONE,,,NONE,,NONE,,ACCY,,"S,Cai;J,Shapland;"
36568,202,NONE,,,NONE,,NONE,,ACCY,,"S,Cai;J,Shapland;"
71329,202,NONE,,,EXCELLENT,True,NONE,,ACCY,,"J,Shapland;S,Witko;"
71330,202,NONE,,,EXCELLENT,True,NONE,,ACCY,,"J,Shapland;S,Witko;"
71331,202,NONE,,,NONE,,NONE,,ACCY,,"J,Shapland;B,Smith;"
71332,202,NONE,,,NONE,,NONE,,ACCY,,"J,Shapland;B,Smith;"
36549,202,3.36,shapland,j,NONE,,NONE,,ACCY,,"J,Shapland;"
71328,202,NONE,,,NONE,,NONE,,ACCY,,"J,Shapland;"
45794,290,NONE,,,NONE,,NONE,,ACCY,,"J,Shapland;"
36577,301,2.89,wolfe,k,NONE,,NONE,,ACCY,,"K,Wolfe;"
36581,301,3.29,wolfe,k,NONE,,NONE,,ACCY,,"K,Wolfe;"
36584,301,3.31,wolfe,k,NONE,,NONE,,ACCY,,"K,Wolfe;"
36587,301,3.35,johnson,j,NONE,,NONE,,ACCY,,"J,Johnson;"
36592,301,3.37,vandenberg,a,EXCELLENT,False,NONE,,ACCY,,"A,Vandenberg;"
36598,301,3.28,vandenberg,a,EXCELLENT,False,NONE,,ACCY,,"A,Vandenberg;"
49255,301,3.43,vandenberg,a,EXCELLENT,False,NONE,,ACCY,,"A,Vandenberg;"
